Title,Date
"Prisão de Mulheres: Temporada 1: Parte 2: Episódio 27","25/11/2019"
"Prisão de Mulheres: Temporada 1: Parte 2: Episódio 26","25/11/2019"
"Prisão de Mulheres: Temporada 1: Parte 2: Episódio 25","25/11/2019"
"Ninguém Tá Olhando: Temporada 1: Vale a pena?","25/11/2019"
"Ninguém Tá Olhando: Temporada 1: O que é imortal...","25/11/2019"
"Prisão de Mulheres: Temporada 1: Parte 2: Episódio 24","25/11/2019"
"Prisão de Mulheres: Temporada 1: Parte 2: Episódio 23","25/11/2019"
"Prisão de Mulheres: Temporada 1: Parte 2: Episódio 22","24/11/2019"
"Prisão de Mulheres: Temporada 1: Parte 2: Episódio 21","24/11/2019"
"Ninguém Tá Olhando: Temporada 1: (des)crenças","24/11/2019"
"Ninguém Tá Olhando: Temporada 1: Anjo não, angelus","24/11/2019"
"Ninguém Tá Olhando: Temporada 1: Chupa, Hamster!","24/11/2019"
"Ninguém Tá Olhando: Temporada 1: A vida não é aleatória por acaso","24/11/2019"
"Ninguém Tá Olhando: Temporada 1: Ai Meu Hamster","24/11/2019"
"Ninguém Tá Olhando: Temporada 1: Eita!","24/11/2019"
"Prisão de Mulheres: Temporada 1: Parte 2: Episódio 20","24/11/2019"
"Prisão de Mulheres: Temporada 1: Parte 2: Episódio 19","23/11/2019"
"Prisão de Mulheres: Temporada 1: Parte 2: Episódio 18","23/11/2019"
"Prisão de Mulheres: Temporada 1: Parte 2: Episódio 17","23/11/2019"
"Prisão de Mulheres: Temporada 1: Parte 2: Episódio 16","23/11/2019"
"Prisão de Mulheres: Temporada 1: Parte 2: Episódio 15","22/11/2019"
"Prisão de Mulheres: Temporada 1: Parte 2: Episódio 14","22/11/2019"
"Prisão de Mulheres: Temporada 1: Parte 2: Episódio 13","22/11/2019"
"Bloodline: Temporada 3: Parte 33","21/11/2019"
"Bloodline: Temporada 3: Parte 32","21/11/2019"
"Bloodline: Temporada 3: Parte 31","20/11/2019"
"Oeste sem Lei","19/11/2019"
"Bloodline: Temporada 3: Parte 30","19/11/2019"
"Bloodline: Temporada 3: Parte 29","19/11/2019"
"Bloodline: Temporada 3: Parte 28","19/11/2019"
"Bloodline: Temporada 3: Parte 27","18/11/2019"
"A Lavanderia","18/11/2019"
"Residue: Temporada 1: Episódio 1","18/11/2019"
"Deixe a Neve Cair","18/11/2019"
"A hora mais escura","18/11/2019"
"Operação Chromite","17/11/2019"
"Bloodline: Temporada 3: Parte 26","17/11/2019"
"Os Sete Magníficos","17/11/2019"
"Pocoyo: Temporada 1: 33. Vamos acampar 34. Pocoyo, Pocoyo 35. À procura da Elly 36. Pocoyo se dá bem","17/11/2019"
"Bloodline: Temporada 3: Parte 25","13/11/2019"
"Bloodline: Temporada 3: Parte 24","11/11/2019"
"Bloodline: Temporada 2: Parte 23","11/11/2019"
"Bloodline: Temporada 2: Parte 22","10/11/2019"
"Bloodline: Temporada 2: Parte 21","10/11/2019"
"Bloodline: Temporada 2: Parte 20","10/11/2019"
"Bloodline: Temporada 2: Parte 19","10/11/2019"
"O vizinho","10/11/2019"
"A Sacada","10/11/2019"
"Paradise Beach","09/11/2019"
"O Espião: Minissérie: O imigrante","09/11/2019"
"O Rei","09/11/2019"
"Bloodline: Temporada 2: Parte 18","09/11/2019"
"Bloodline: Temporada 2: Parte 17","08/11/2019"
"Bloodline: Temporada 2: Parte 16","06/11/2019"
"O Homem sem Gravidade","06/11/2019"
"Bloodline: Temporada 2: Parte 15","04/11/2019"
"Bloodline: Temporada 2: Parte 14","04/11/2019"
"Bloodline: Temporada 1: Parte 13","03/11/2019"
"Bloodline: Temporada 1: Parte 12","03/11/2019"
"Bloodline: Temporada 1: Parte 11","03/11/2019"
"Bloodline: Temporada 1: Parte 10","03/11/2019"
"Bloodline: Temporada 1: Parte 9","02/11/2019"
"Bloodline: Temporada 1: Parte 8","02/11/2019"
"Bloodline: Temporada 1: Parte 7","02/11/2019"
"Bloodline: Temporada 1: Parte 6","02/11/2019"
"Bloodline: Temporada 1: Parte 5","02/11/2019"
"Vikings: Temporada 5: O que acontece na caverna","02/11/2019"
"Vikings: Temporada 5: Baldur","02/11/2019"
"Vikings: Temporada 5: Coisas terríveis","02/11/2019"
"Vikings: Temporada 5: Buda","02/11/2019"
"Vikings: Temporada 5: Inferno","01/11/2019"
"Vikings: Temporada 5: Momento perdido","01/11/2019"
"Vikings: Temporada 5: Novo Deus","01/11/2019"
"Vikings: Temporada 5: Todo assassinato é infame","01/11/2019"
"Bloodline: Temporada 1: Parte 4","01/11/2019"
"Vikings: Temporada 5: Revelação","31/10/2019"
"Bloodline: Temporada 1: Parte 3","30/10/2019"
"Bloodline: Temporada 1: Parte 2","30/10/2019"
"Bloodline: Temporada 1: Parte 1","29/10/2019"
"Olhos que Condenam: Minissérie: Parte 4","28/10/2019"
"Under the Dome: Temporada 3: A escuridão interior","28/10/2019"
"Olhos que Condenam: Minissérie: Parte 3","27/10/2019"
"Olhos que Condenam: Minissérie: Parte 2","27/10/2019"
"Under the Dome: Temporada 3: Força vital","27/10/2019"
"Under the Dome: Temporada 3: O amor é uma guerra","27/10/2019"
"Olhos que Condenam: Minissérie: Parte 1","27/10/2019"
"Under the Dome: Temporada 3: Legado","26/10/2019"
"Under the Dome: Temporada 3: Plano B","26/10/2019"
"Under the Dome: Temporada 3: Colapso","26/10/2019"
"Under the Dome: Temporada 3: Ejecta","26/10/2019"
"Under the Dome: Temporada 3: Enjaulado","26/10/2019"
"Under the Dome: Temporada 3: Alasca","25/10/2019"
"Cara x Cara: Temporada 1: Bom ter te conhecido","25/10/2019"
"Cara x Cara: Temporada 1: Piña Colada","25/10/2019"
"Cara x Cara: Temporada 1: Vizinhos e amigos","25/10/2019"
"Cara x Cara: Temporada 1: Va bene","25/10/2019"
"Under the Dome: Temporada 3: A família","25/10/2019"
"Under the Dome: Temporada 3: Redux","24/10/2019"
"Cara x Cara: Temporada 1: Alma gêmea","24/10/2019"
"Under the Dome: Temporada 3: Não sou","24/10/2019"
"Cara x Cara: Temporada 1: Chá verde","23/10/2019"
"Cara x Cara: Temporada 1: Feito numa loja de estrada","23/10/2019"
"Cara x Cara: Temporada 1: O melhor que você pode ser","22/10/2019"
"Prisão de Mulheres: Temporada 1: Parte 1: Episódio 12","21/10/2019"
"Pocoyo: Temporada 1: 29. Lá no espaço 30. Uma surpresa para Pocoyo 31. Cadê a bola? 32. Super Pocoyo","21/10/2019"
"Prisão de Mulheres: Temporada 1: Parte 1: Episódio 11","21/10/2019"
"Prisão de Mulheres: Temporada 1: Parte 1: Episódio 10","21/10/2019"
"Under the Dome: Temporada 3: Seguindo em frente","21/10/2019"
"Under the Dome: Temporada 2: Agora vai","20/10/2019"
"Under the Dome: Temporada 2: A virada","20/10/2019"
"Prisão de Mulheres: Temporada 1: Parte 1: Episódio 9","20/10/2019"
"Prisão de Mulheres: Temporada 1: Parte 1: Episódio 8","20/10/2019"
"Prisão de Mulheres: Temporada 1: Parte 1: Episódio 7","20/10/2019"
"Prisão de Mulheres: Temporada 1: Parte 1: Episódio 6","20/10/2019"
"Prisão de Mulheres: Temporada 1: Parte 1: Episódio 5","20/10/2019"
"Prisão de Mulheres: Temporada 1: Parte 1: Episódio 4","20/10/2019"
"Prisão de Mulheres: Temporada 1: Parte 1: Episódio 3","20/10/2019"
"Prisão de Mulheres: Temporada 1: Parte 1: Episódio 2","20/10/2019"
"Prisão de Mulheres: Temporada 1: Parte 1: Episódio 1","20/10/2019"
"Under the Dome: Temporada 2: Gelo negro","19/10/2019"
"Baby: Temporada 2: O arquivo","19/10/2019"
"Baby: Temporada 2: Beco sem saída","19/10/2019"
"Baby: Temporada 2: Jogo da verdade","19/10/2019"
"Baby: Temporada 2: Fantasmas","19/10/2019"
"Baby: Temporada 2: A proposta","19/10/2019"
"Baby: Temporada 2: #sóumjogo","19/10/2019"
"Under the Dome: Temporada 2: A queda","19/10/2019"
"Under the Dome: Temporada 2: A porta vermelha","19/10/2019"
"Under the Dome: Temporada 2: Despertar","19/10/2019"
"Under the Dome: Temporada 2: Indo para casa","19/10/2019"
"Campo do Medo","19/10/2019"
"Under the Dome: Temporada 2: Na escuridão","19/10/2019"
"El Camino: A Breaking Bad Film","18/10/2019"
"Fratura","16/10/2019"
"Riverdale: Temporada 3: Capítulo cinquenta e sete: Sobrevivam à noite","16/10/2019"
"Riverdale: Temporada 3: Capítulo cinquenta e seis: Segredo sombrio","15/10/2019"
"Riverdale: Temporada 3: Capítulo cinquenta e cinco: Noite do baile","15/10/2019"
"Riverdale: Temporada 3: Capítulo cinquenta e quatro: Tema o ceifador","15/10/2019"
"Riverdale: Temporada 3: Capítulo cinquenta e três: Correndo risco","15/10/2019"
"Under the Dome: Temporada 2: Reconciliação","14/10/2019"
"Under the Dome: Temporada 2: Revelação","14/10/2019"
"Riverdale: Temporada 3: Capítulo cinquenta e dois: Ataque","14/10/2019"
"Riverdale: Temporada 3: Capítulo cinquenta e um: Diversão","14/10/2019"
"Riverdale: Temporada 3: Capítulo cinquenta: Sonhos americanos","14/10/2019"
"Riverdale: Temporada 3: Capítulo quarenta e nove: Ande pelo fogo comigo","14/10/2019"
"Under the Dome: Temporada 2: Força maior","13/10/2019"
"Under the Dome: Temporada 2: Infestação","13/10/2019"
"Riverdale: Temporada 3: Capítulo quarenta e oito: Réquiem para um peso meio-médio","13/10/2019"
"Riverdale: Temporada 3: Capítulo quarenta e sete: Mundo Bizarro","13/10/2019"
"Riverdale: Temporada 3: Capítulo quarenta e seis: A Dália Vermelha","13/10/2019"
"Under the Dome: Temporada 2: Cabeças vão rolar","13/10/2019"
"Riverdale: Temporada 3: Capítulo quarenta e cinco: O estranho","12/10/2019"
"Riverdale: Temporada 3: Capítulo quarenta e quatro: Sem saída","12/10/2019"
"Riverdale: Temporada 3: Capítulo quarenta e três: Epidemia","12/10/2019"
"Riverdale: Temporada 3: Capítulo quarenta e dois: Homem de Preto","12/10/2019"
"Riverdale: Temporada 3: Capítulo quarenta e um: Caçada","12/10/2019"
"Under the Dome: Temporada 1: E cai o pano","11/10/2019"
"Riverdale: Temporada 3: Capítulo quarenta: A grande fuga","11/10/2019"
"Riverdale: Temporada 3: Capítulo trinta e nove: Clube da Meia-Noite","10/10/2019"
"Riverdale: Temporada 3: Capítulo trinta e oito: Tanto em cima, como embaixo","10/10/2019"
"Riverdale: Temporada 3: Capítulo trinta e sete: Sorte e olhos masculinos","10/10/2019"
"Riverdale: Temporada 3: Capítulo trinta e seis: Dia do trabalho","09/10/2019"
"Under the Dome: Temporada 1: Circunstâncias","09/10/2019"
"Under the Dome: Temporada 1: Falando no diabo","09/10/2019"
"Sombra Lunar","08/10/2019"
"Under the Dome: Temporada 1: Que comecem os jogos","07/10/2019"
"Under the Dome: Temporada 1: A quarta mão","07/10/2019"
"Under the Dome: Temporada 1: Laços de sangue","07/10/2019"
"Under the Dome: Temporada 1: Círculos imperfeitos","07/10/2019"
"Under the Dome: Temporada 1: Água","06/10/2019"
"Fragmentado","06/10/2019"
"Wanted: Temporada 3: Foras da lei","06/10/2019"
"Wanted: Temporada 3: Dividir","06/10/2019"
"Galinha Pintadinha: 4ª temporada: Volume 4","06/10/2019"
"Wanted: Temporada 3: Presas","06/10/2019"
"Under the Dome: Temporada 1: Fogo amigo","06/10/2019"
"Under the Dome: Temporada 1: Surto","06/10/2019"
"Under the Dome: Temporada 1: Perseguição","06/10/2019"
"Under the Dome: Temporada 1: Fogo","06/10/2019"
"Under the Dome: Temporada 1: Piloto","06/10/2019"
"The I-Land: Minissérie: O escuro do passado","06/10/2019"
"The I-Land: Minissérie: O próprio globo grandioso","05/10/2019"
"Wanted: Temporada 3: Pele de cobra","05/10/2019"
"Wanted: Temporada 3: Motivação","05/10/2019"
"Pocoyo: Temporada 1: 25. O carteiro Pato 26. Carinho para Loula 27. O taco e a bola 28. As manchinhas da Elly","05/10/2019"
"The I-Land: Minissérie: As torres encobertas pelas nuvens","05/10/2019"
"The I-Land: Minissérie: Quantas criaturas graciosas","05/10/2019"
"Wanted: Temporada 3: Trancadas","05/10/2019"
"Wanted: Temporada 2: Episódio 6","05/10/2019"
"The I-Land: Minissérie: A apresentação insubstancial","05/10/2019"
"The I-Land: Minissérie: Os palácios maravilhosos","05/10/2019"
"The I-Land: Minissérie: Admirável mundo novo","05/10/2019"
"Lista Negra: Temporada 6: Robert Diaz (Nº 15)","04/10/2019"
"Lista Negra: Temporada 6: Anna McMahon (Nº 60)","04/10/2019"
"Wanted: Temporada 2: Episódio 5","04/10/2019"
"Pocoyo: Temporada 1: 21. Regador mágico 22. Um restaurante divertido 23. Brilha, brilha 24. Soluços","04/10/2019"
"Wanted: Temporada 2: Episódio 4","04/10/2019"
"Lista Negra: Temporada 6: Guillermo Rizal (Nº 128)","04/10/2019"
"Lista Negra: Temporada 6: Rassvet","04/10/2019"
"Lista Negra: Temporada 6: O assassino da Universidade Brockton (Nº 92)","03/10/2019"
"Lista Negra: Temporada 6: O Terceiro Estado (Nº 136)","02/10/2019"
"Lista Negra: Temporada 6: Dona Sorte (Nº 69)","02/10/2019"
"Lista Negra: Temporada 6: Olivia Olson (Nº 115)","01/10/2019"
"Lista Negra: Temporada 6: Grupo empresarial Osterman (Nº 6)","01/10/2019"
"Wanted: Temporada 2: Episódio 3","01/10/2019"
"Vis a vis: Temporada 4: A maré amarela","30/09/2019"
"Vis a vis: Temporada 4: De volta ao lar","30/09/2019"
"Vis a vis: Temporada 4: Pessoa má","30/09/2019"
"Galinha Pintadinha: 3ª temporada: Volume 3","29/09/2019"
"Galinha Pintadinha: 2ª temporada: Volume 2","29/09/2019"
"Galinha Pintadinha: 1ª temporada: Volume 1","29/09/2019"
"Vis a vis: Temporada 4: Traição","29/09/2019"
"Lista Negra: Temporada 6: Robert Vesco (Nº 9)","29/09/2019"
"Corações de Ferro","29/09/2019"
"Vis a vis: Temporada 4: Mãe","29/09/2019"
"Até o Último Homem","28/09/2019"
"Vis a vis: Temporada 4: Limite da dor","27/09/2019"
"Vis a vis: Temporada 4: A fuga","26/09/2019"
"Vis a vis: Temporada 4: A Barbie","25/09/2019"
"Lista Negra: Temporada 6: Bastien Moreau (Nº 20) - Parte 2","25/09/2019"
"Lista Negra: Temporada 6: Bastien Moreau (Nº 20) - Parte 1","24/09/2019"
"Lista Negra: Temporada 6: O criptobanqueiro (Nº 160)","23/09/2019"
"Wanted: Temporada 2: Episódio 2","23/09/2019"
"Lista Negra: Temporada 6: Ministro D (Nº 99)","22/09/2019"
"Wanted: Temporada 2: Episódio 1","22/09/2019"
"Wanted: Temporada 1: Sem saída","22/09/2019"
"Wanted: Temporada 1: Desvio","22/09/2019"
"Pocoyo: Temporada 1: 17. O baterista 18. A grande corrida 19. Não toque! 20. Pegadas misteriosas","22/09/2019"
"Wanted: Temporada 1: Terreno hostil","22/09/2019"
"Wanted: Temporada 1: Nós e eles","22/09/2019"
"Wanted: Temporada 1: Corra, Lola, corra","22/09/2019"
"Wanted: Temporada 1: Chelsea e Lola","22/09/2019"
"Lista Negra: Temporada 6: Marko Jankowics (Nº 58)","22/09/2019"
"Lista Negra: Temporada 6: General Shiro (Nº 116)","22/09/2019"
"Lista Negra: Temporada 6: O ético (Nº 91)","22/09/2019"
"Lista Negra: Temporada 6: Alter ego (Nº 131)","22/09/2019"
"Lista Negra: Temporada 6: Os penhoristas (Nº 146 e 147)","22/09/2019"
"Lista Negra: Temporada 6: O farmacêutico (Nº 124)","21/09/2019"
"Lista Negra: Temporada 6: O corso (Nº 20)","21/09/2019"
"Lista Negra: Temporada 6: Dr. Hans Kohler (Nº 33)","21/09/2019"
"Inacreditável: Minissérie: Episódio 8","21/09/2019"
"Inacreditável: Minissérie: Episódio 7","21/09/2019"
"Sully: O Herói do Rio Hudson","21/09/2019"
"Carros","21/09/2019"
"Inacreditável: Minissérie: Episódio 6","20/09/2019"
"Inacreditável: Minissérie: Episódio 5","20/09/2019"
"Inacreditável: Minissérie: Episódio 4","19/09/2019"
"Inacreditável: Minissérie: Episódio 3","19/09/2019"
"Inacreditável: Minissérie: Episódio 2","19/09/2019"
"Inacreditável: Minissérie: Episódio 1","19/09/2019"
"Crush à Altura","18/09/2019"
"Ajuste de Contas","17/09/2019"
"Mandamentos de um Serial Killer: Temporada 1: Episódio 13","16/09/2019"
"Mandamentos de um Serial Killer: Temporada 1: Episódio 12","16/09/2019"
"Mandamentos de um Serial Killer: Temporada 1: Episódio 11","16/09/2019"
"Mandamentos de um Serial Killer: Temporada 1: Episódio 10","16/09/2019"
"Mandamentos de um Serial Killer: Temporada 1: Episódio 9","16/09/2019"
"A Grande Muralha","15/09/2019"
"Mandamentos de um Serial Killer: Temporada 1: Episódio 8","15/09/2019"
"Mandamentos de um Serial Killer: Temporada 1: Episódio 7","15/09/2019"
"Procurando Dory","15/09/2019"
"Inferno","15/09/2019"
"O Dilema","14/09/2019"
"Mandamentos de um Serial Killer: Temporada 1: Episódio 6","14/09/2019"
"The Ranch: Parte 7: O futuro","14/09/2019"
"The Ranch: Parte 7: Vai ter luta","14/09/2019"
"The Ranch: Parte 7: Última gota","14/09/2019"
"The Ranch: Parte 7: Cabo de guerra","14/09/2019"
"The Ranch: Parte 7: Amor e guerra","14/09/2019"
"The Ranch: Parte 7: Lembranças","14/09/2019"
"The Ranch: Parte 7: Esperando por ela","14/09/2019"
"The Ranch: Parte 7: Gostaria que você ficasse","14/09/2019"
"Mandamentos de um Serial Killer: Temporada 1: Episódio 5","13/09/2019"
"Mandamentos de um Serial Killer: Temporada 1: Episódio 4","13/09/2019"
"The Ranch: Parte 7: Desculpas para te ver","13/09/2019"
"Busca sem Limites","12/09/2019"
"Mandamentos de um Serial Killer: Temporada 1: Episódio 3","12/09/2019"
"Mandamentos de um Serial Killer: Temporada 1: Episódio 1","12/09/2019"
"Mandamentos de um Serial Killer: Temporada 1: Episódio 2","12/09/2019"
"O Contador","09/09/2019"
"Pocoyo: Temporada 1: 13. Chave para tudo 14. Dá-lhe, Pocoyo! 15. A surpresa da Sonequita 16. Cadê o Pocoyo?","09/09/2019"
"Pocoyo: Temporada 1: 9. O espirro 10. O mistério da câmera 11. Silêncio 12. Bolinhas de sabão","09/09/2019"
"Colega de Quarto","08/09/2019"
"The A List: Temporada 1: Finalmente, ela chegou","08/09/2019"
"Elite: Temporada 2: 0 hora desaparecido","08/09/2019"
"Elite: Temporada 2: 84 horas desaparecido","08/09/2019"
"Elite: Temporada 2: 66 horas desaparecido","08/09/2019"
"A Volta por Cima","08/09/2019"
"Elite: Temporada 2: 63 horas desaparecido","07/09/2019"
"Elite: Temporada 2: 59 horas desaparecido","07/09/2019"
"Elite: Temporada 2: 36 horas desaparecido","07/09/2019"
"Manhunt: Unabomber: O julgamento","07/09/2019"
"Manhunt: Unabomber: Lincoln","06/09/2019"
"Manhunt: Unabomber: Ted","06/09/2019"
"Manhunt: Unabomber: A cabana","06/09/2019"
"Manhunt: Unabomber: Publicar ou perecer","06/09/2019"
"Manhunt: Unabomber: Provas ilícitas","06/09/2019"
"Manhunt: Unabomber: Pura aqua","06/09/2019"
"Manhunt: Unabomber: Força-tarefa UNABOM","03/09/2019"
"MINDHUNTER: Temporada 2: Episódio 9","02/09/2019"
"MINDHUNTER: Temporada 2: Episódio 8","02/09/2019"
"MINDHUNTER: Temporada 2: Episódio 7","01/09/2019"
"Supermães: Temporada 3: O que vai ser?","01/09/2019"
"Supermães: Temporada 3: Considerando as opções","01/09/2019"
"Supermães: Temporada 3: Cara da manutenção","01/09/2019"
"Supermães: Temporada 3: Perdendo feio","01/09/2019"
"Supermães: Temporada 3: Armas e mentiras","01/09/2019"
"Supermães: Temporada 3: Fim de semana das meninas","01/09/2019"
"Supermães: Temporada 3: Fantasia de vingança","01/09/2019"
"Supermães: Temporada 3: Narla no comando","01/09/2019"
"Supermães: Temporada 3: Defenda sua opinião","01/09/2019"
"Supermães: Temporada 3: Dia de treinamento","01/09/2019"
"Supermães: Temporada 3: A casa do papai","01/09/2019"
"Supermães: Temporada 3: Sobre os direitos dos homens","01/09/2019"
"Vis a vis: Temporada 3: O que sabemos sobre os monstros","31/08/2019"
"Vis a vis: Temporada 3: Fomos garotas","31/08/2019"
"Vis a vis: Temporada 3: Seis meses é muito tempo","31/08/2019"
"Vis a vis: Temporada 3: Alguém que desse bola","31/08/2019"
"Vis a vis: Temporada 3: A bandeira no muro","31/08/2019"
"Pocoyo: Temporada 1: 5. Pega, Loula! Pega!    6. Nuvenzinha 7. Um presente para Elly 8. A dança do Pocoyo","31/08/2019"
"Vis a vis: Temporada 3: Um grão de arroz","30/08/2019"
"Vis a vis: Temporada 3: Muito fácil ou muito difícil","30/08/2019"
"Vis a vis: Temporada 3: Cruz do Norte","30/08/2019"
"Vis a vis: Temporada 1: Mosca-morta","30/08/2019"
"Supermães: Temporada 3: Tudo novo ao mesmo tempo","29/08/2019"
"Vítima Número 8: Temporada 1: Pode ser fácil ou difícil","29/08/2019"
"Vítima Número 8: Temporada 1: Síndrome do ninho","29/08/2019"
"MINDHUNTER: Temporada 2: Episódio 6","29/08/2019"
"MINDHUNTER: Temporada 2: Episódio 5","28/08/2019"
"Vítima Número 8: Temporada 1: Um mercenário qualquer","27/08/2019"
"Vítima Número 8: Temporada 1: Teoria furada","26/08/2019"
"Vítima Número 8: Temporada 1: Tiro de misericórdia","26/08/2019"
"Pocoyo: Temporada 1: 1. O guarda-chuva 2. A bandinha de música 3. Varrendo tudo 4. Quem está no telefone?","26/08/2019"
"Vítima Número 8: Temporada 1: Começando a acreditar","26/08/2019"
"13 Reasons Why: Temporada 3: Deixe os mortos enterrarem os mortos","25/08/2019"
"13 Reasons Why: Temporada 3: E aí o furacão chegou","25/08/2019"
"13 Reasons Why: Temporada 3: Tem umas coisas que eu não te contei","25/08/2019"
"13 Reasons Why: Temporada 3: O cerco está se fechando","25/08/2019"
"13 Reasons Why: Temporada 3: Sempre esperando pelas próximas más notícias","25/08/2019"
"13 Reasons Why: Temporada 3: Na escola, mesmo num dia bom, é difícil dizer quem está do seu lado","25/08/2019"
"13 Reasons Why: Temporada 3: Clay Jensen tem vários problemas","25/08/2019"
"13 Reasons Why: Temporada 3: Você conhece um homem pelo seu jeito de sofrer","25/08/2019"
"MINDHUNTER: Temporada 2: Episódio 4","25/08/2019"
"MINDHUNTER: Temporada 2: Episódio 3","25/08/2019"
"MINDHUNTER: Temporada 2: Episódio 2","25/08/2019"
"13 Reasons Why: Temporada 3: Ninguém está limpo","24/08/2019"
"13 Reasons Why: Temporada 3: Nervoso, jovem e homem","24/08/2019"
"13 Reasons Why: Temporada 3: Não dá para diferenciar uma pessoa boa de uma má","24/08/2019"
"13 Reasons Why: Temporada 3: Se você está respirando, está mentindo","23/08/2019"
"13 Reasons Why: Temporada 3: Sim, eu sou a garota nova","23/08/2019"
"MINDHUNTER: Temporada 2: Episódio 1","23/08/2019"
"Vítima Número 8: Temporada 1: Milagres não existem","22/08/2019"
"Vítima Número 8: Temporada 1: Omar","22/08/2019"
"Borderliner: Temporada 1: O segredo de Hans Olav","20/08/2019"
"Borderliner: Temporada 1: A oportunidade de Josef","20/08/2019"
"Borderliner: Temporada 1: O futuro de Milla","19/08/2019"
"Borderliner: Temporada 1: O destino de Bengt","19/08/2019"
"Borderliner: Temporada 1: O testemunho de Ove","19/08/2019"
"Borderliner: Temporada 1: O caso de Anniken","18/08/2019"
"Borderliner: Temporada 1: A mentira de Lars","18/08/2019"
"Borderliner: Temporada 1: O dilema de Nikolai","18/08/2019"
"MINDHUNTER: Temporada 1: Episódio 10","18/08/2019"
"Whindersson Nunes: Adulto","18/08/2019"
"A Garota no Trem","17/08/2019"
"Seis Vezes Confusão","17/08/2019"
"Supermães: Temporada 2: Olhar para trás","16/08/2019"
"Supermães: Temporada 2: E se as mulheres engravidassem?","16/08/2019"
"Supermães: Temporada 2: Panda do lixo","16/08/2019"
"Supermães: Temporada 2: Corno","16/08/2019"
"Supermães: Temporada 2: Animal espiritual","16/08/2019"
"Supermães: Temporada 2: Pega no flagra","16/08/2019"
"Supermães: Temporada 2: Retiro","16/08/2019"
"Supermães: Temporada 2: Espiral da vergonha","15/08/2019"
"Supermães: Temporada 2: Consentimento","15/08/2019"
"Supermães: Temporada 2: O buraco sagrado","15/08/2019"
"Supermães: Temporada 2: O sinal","15/08/2019"
"Supermães: Temporada 2: Boa mãe","15/08/2019"
"Supermães: Temporada 2: 2005","14/08/2019"
"Supermães: Temporada 1: Final","14/08/2019"
"Supermães: Temporada 1: Merda","14/08/2019"
"Durante a Tormenta","13/08/2019"
"Segurança em Jogo: Temporada 1: Episódio 6","12/08/2019"
"Segurança em Jogo: Temporada 1: Episódio 5","12/08/2019"
"Supermães: Temporada 1: Adeus, Kate","12/08/2019"
"Supermães: Temporada 1: Comandar o navio","12/08/2019"
"Supermães: Temporada 1: Mamilo complicado","11/08/2019"
"Supermães: Temporada 1: O brinco","11/08/2019"
"Supermães: Temporada 1: A ascensão de Phoenix","11/08/2019"
"Supermães: Temporada 1: A coelhinha e o lobo","11/08/2019"
"Supermães: Temporada 1: A escolha","11/08/2019"
"Supermães: Temporada 1: Ajuda que não ajuda","11/08/2019"
"Supermães: Temporada 1: Mulher indefesa","11/08/2019"
"Segurança em Jogo: Temporada 1: Episódio 4","11/08/2019"
"Segurança em Jogo: Temporada 1: Episódio 3","11/08/2019"
"Supermães: Temporada 1: Regras","11/08/2019"
"Supermães: Temporada 1: Piloto","11/08/2019"
"Segurança em Jogo: Temporada 1: Episódio 2","11/08/2019"
"Segurança em Jogo: Temporada 1: Episódio 1","11/08/2019"
"O Grande Guerreiro Otomano: Temporada 1: Episódio 1","11/08/2019"
"Loucademia de Polícia 5 - Missão Miami Beach","10/08/2019"
"Irmãs de Cela: Temporada 1: Vestidas de laranja","10/08/2019"
"Firewall: Segurança em Risco","10/08/2019"
"Cães de Guerra","10/08/2019"
"Boi","10/08/2019"
"Esquadrão Suicida","08/08/2019"
"Sequestrando Stella","06/08/2019"
"Eu, tu e ela: Temporada 4: Quem somos e não somos","06/08/2019"
"Loucademia de Polícia","05/08/2019"
"Eu, tu e ela: Temporada 4: Sou o Popeye e você é meu espinafre","05/08/2019"
"Eu, tu e ela: Temporada 4: No meio dessa maluquice","04/08/2019"
"Eu, tu e ela: Temporada 4: Cheiro de cabelo de ovo","04/08/2019"
"Eu, tu e ela: Temporada 4: Coma seus estranhos e não fale com legumes","04/08/2019"
"Missão no Mar Vermelho","04/08/2019"
"No Fim do Túnel","04/08/2019"
"Orange Is the New Black: Temporada 7: Despedidas e recomeços","04/08/2019"
"Orange Is the New Black: Temporada 7: Casarão","04/08/2019"
"Orange Is the New Black: Temporada 7: Deus abençoe a América","03/08/2019"
"Orange Is the New Black: Temporada 7: A décima terceira","03/08/2019"
"Orange Is the New Black: Temporada 7: Esconderijo","03/08/2019"
"Orange Is the New Black: Temporada 7: Dúzia de padeiro","02/08/2019"
"Orange Is the New Black: Temporada 7: Eu também","01/08/2019"
"Orange Is the New Black: Temporada 7: Presa no elevador","01/08/2019"
"Orange Is the New Black: Temporada 7: Deportação","30/07/2019"
"Orange Is the New Black: Temporada 7: O caos da vida","30/07/2019"
"Orange Is the New Black: Temporada 7: Brown is the New Orange","29/07/2019"
"Orange Is the New Black: Temporada 7: Sobremesa","29/07/2019"
"Orange Is the New Black: Temporada 7: O começo do fim","28/07/2019"
"Outra Vida: Temporada 1: Olá","27/07/2019"
"Outra Vida: Temporada 1: Corpo e alma","27/07/2019"
"Outra Vida: Temporada 1: Quando a luz se apaga","27/07/2019"
"Outra Vida: Temporada 1: Sonho realizado","27/07/2019"
"Outra Vida: Temporada 1: Agora somos só nós","27/07/2019"
